Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	18/171	8.620733395975762e-10	1.5698355514071864e-06	0	0	7.104716809324349	148.28738119228703	RPL41;SMG1;RPL34;RPL36A;SMG7;RC3H2;PATL1;RPS28;RPS27;CNOT1;RPS29;CSDE1;RPL38;EIF3E;RPL37;PABPC1;RPL39;RPS21
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	13/93	6.236913539653427e-09	3.66613382180104e-06	0	0	9.699961890243902	183.2592499000299	RPL41;RPL34;RPL36A;TMA7;RPS28;RPS27;RPS29;RPL38;RPL22L1;RPL37;RPL39;RPS21;ZC3H15
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	13/94	7.127969604776735e-09	3.66613382180104e-06	0	0	9.579719963866305	179.7082602923873	RPL41;RPL34;RPL36A;SRP68;RPS28;RPS27;SRP72;RPS29;RPL38;RPL37;SEC62;RPL39;RPS21
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	14/113	8.053012238991851e-09	3.66613382180104e-06	0	0	8.458900935965156	157.65039452402377	RPL41;SMG1;RPL34;RPL36A;SMG7;RPS28;RPS27;RPS29;RPL38;EIF3E;RPL37;PABPC1;RPL39;RPS21
GO_Biological_Process_2021	gene expression (GO:0010467)	24/356	1.2147994387453246e-08	4.424299555910472e-06	0	0	4.407358139181331	80.3289579012418	MEF2A;RPL41;SMG1;RPL34;RPL36A;ADAR;SMG7;WDR33;DUSP11;RBM15B;RPS28;ALKBH5;RPS27;ATXN1;RPS29;HNRNPH1;AGO2;NUP88;RPL38;RPL37;HNRNPH3;RPS21;RPL39;EIF4E
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	13/103	2.2071018107423953e-08	6.6985539956031686e-06	0	0	8.617784552845528	151.92292807821215	RPL41;RPL34;RPL36A;SRP68;RPS28;RPS27;SRP72;RPS29;RPL38;RPL37;SEC62;RPL39;RPS21
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	17/192	3.4844169087798395e-08	9.064461701268697e-06	0	0	5.841763668430335	100.31698574975704	LTV1;RPL41;NOP58;DIS3;RPL34;RPL36A;DDX52;UTP18;WDR43;MRPL22;RPS28;RPS27;SBDS;RPL38;RPL37;RPL39;EIF2A
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	12/90	4.140126976173537e-08	9.423964029515014e-06	0	0	9.156418050035072	155.65868827421278	RPL41;RPS28;RPS27;SRP72;RPS29;RPL34;RPL36A;RPL38;RPL37;SRP68;RPL39;RPS21
GO_Biological_Process_2021	ncRNA processing (GO:0034470)	17/201	6.834783779104166e-08	1.3829045846387433e-05	0	0	5.553458803005904	91.62460589362132	RPL41;NOP58;DIS3;RPL34;RPL36A;ADAR;DDX52;UTP18;WDR43;RPS28;RPS27;AGO3;AGO2;SBDS;RPL38;RPL37;RPL39
GO_Biological_Process_2021	regulation of translational initiation (GO:0006446)	10/68	2.2016430982707245e-07	4.009192081950989e-05	0	0	10.20991769976039	156.50672275197596	KHDRBS1;YTHDF3;RPS6KB1;CSDE1;AGO2;EIF3E;EIF1B;EIF4B;EIF4G2;PAIP1
